# 3.14 FMA Instructions
# Table 31  FMA Instructions
# Intel/AMD Mnemonic			Description
VFNMSUB231PD			Fused Negative Multiply-Subtract of Packed Double- Precision Floating-Point Values			
VFNMSUB132PD            Fused Negative Multiply-Subtract of Packed Double- Precision Floating-Point Values
VFNMSUB213PD            Fused Negative Multiply-Subtract of Packed Double- Precision Floating-Point Values
VFNMSUB231PD			Fused Negative Multiply-Subtract of Packed Double- Precision Floating-Point Values			
VFNMSUB132PS            Fused Negative Multiply-Subtract of Packed Single-Precision
VFNMSUB213PS            Fused Negative Multiply-Subtract of Packed Single-Precision
VFNMSUB231PS			Fused Negative Multiply-Subtract of Packed Single-Precision			
VFNMSUB132PS            Fused Negative Multiply-Subtract of Packed Single-Precision
VFNMSUB213PS            Fused Negative Multiply-Subtract of Packed Single-Precision
VFNMSUB231PS			Fused Negative Multiply-Subtract of Packed Single-Precision			
VFNMSUB132PS            Fused Negative Multiply-Subtract of Packed Single-Precision
VFNMSUB213PS            Fused Negative Multiply-Subtract of Packed Single-Precision
VFNMSUB231PS			Fused Negative Multiply-Subtract of Packed Single-Precision			
VFNMSUB132SD			Fused Negative Multiply-Subtract of Scalar Double-Precision
VFNMSUB213SD			Fused Negative Multiply-Subtract of Scalar Double-Precision
VFNMSUB231SD			Fused Negative Multiply-Subtract of Scalar Double-Precision			
VFNMSUB132SD			Fused Negative Multiply-Subtract of Scalar Double-Precision
VFNMSUB213SD			Fused Negative Multiply-Subtract of Scalar Double-Precision
VFNMSUB231SD			Fused Negative Multiply-Subtract of Scalar Double-Precision			
VFNMSUB132SD			Fused Negative Multiply-Subtract of Scalar Double-Precision
VFNMSUB213SD			Fused Negative Multiply-Subtract of Scalar Double-Precision
VFNMSUB231SD			Fused Negative Multiply-Subtract of Scalar Double-Precision			
VFNMSUB132SS            Fused Negative Multiply-Subtract of Scalar Single-Precision
VFNMSUB213SS            Fused Negative Multiply-Subtract of Scalar Single-Precision
VFNMSUB231SS			Fused Negative Multiply-Subtract of Scalar Single-Precision			
VFNMSUB132SS            Fused Negative Multiply-Subtract of Scalar Single-Precision
VFNMSUB213SS            Fused Negative Multiply-Subtract of Scalar Single-Precision
VFNMSUB231SS			Fused Negative Multiply-Subtract of Scalar Single-Precision			
VFNMSUB132SS            Fused Negative Multiply-Subtract of Scalar Single-Precision
VFNMSUB213SS            Fused Negative Multiply-Subtract of Scalar Single-Precision
VFNMSUB231SS			Fused Negative Multiply-Subtract of Scalar Single-Precision			
